OG_name,OG size (number of genomes),OG size (total number of genes)
OG_504,24,24
OG_505,40,40
OG_506,20,20
OG_507,3,3
OG_508,39,39
OG_509,40,40
OG_510,20,20
OG_511,24,24
OG_512,37,37
OG_513,40,40
OG_514,17,17
OG_515,40,40
OG_516,40,40
OG_517,24,24
OG_518,40,40
OG_519,39,39
OG_520,3,3
OG_521,3,3
OG_522,3,3
OG_523,17,17
OG_524,15,15
OG_525,6,6
OG_526,3,3
OG_527,4,4
OG_528,40,40
OG_529,2,2
OG_530,7,7
OG_531,3,3
OG_532,23,23
OG_533,18,18
OG_534,18,18
OG_535,3,3
OG_536,3,3
OG_537,2,2
OG_538,2,2
OG_539,40,40
OG_540,24,24
OG_541,40,40
OG_542,18,18
OG_543,17,17
OG_544,5,5
OG_545,40,40
OG_546,40,40
OG_547,25,25
OG_548,21,21
OG_549,25,25
OG_550,40,40
OG_551,3,3
OG_552,40,40
OG_553,40,40
OG_554,38,38
OG_555,40,40
OG_556,22,22
OG_557,19,19
OG_558,23,23
OG_559,40,40
OG_560,40,40
OG_561,23,23
OG_562,40,40
OG_563,40,40
OG_564,40,40
OG_565,39,39
OG_566,40,40
OG_567,40,40
OG_568,23,23
OG_569,40,40
OG_570,22,22
OG_571,40,40
OG_572,22,22
OG_573,40,40
OG_574,40,40
OG_575,21,21
OG_576,40,40
OG_577,40,40
OG_578,21,21
OG_579,3,3
OG_580,3,3
OG_581,21,21
OG_582,17,17
OG_583,25,25
OG_584,40,40
OG_585,18,37
OG_586,39,39
OG_587,23,23
OG_588,24,24
OG_589,24,24
OG_590,23,23
OG_591,40,40
OG_592,40,40
OG_593,40,40
OG_594,20,20
OG_595,3,3
OG_596,3,3
OG_597,17,17
OG_598,14,14
OG_599,3,3
OG_600,40,40
OG_601,40,40
OG_602,40,40
OG_603,40,40
OG_604,25,25
OG_605,20,20
OG_606,3,3
OG_607,3,3
OG_608,40,40
OG_609,39,39
OG_610,40,40
OG_611,40,40
OG_612,40,40
OG_613,40,40
OG_614,40,40
OG_615,40,40
OG_616,23,23
OG_617,40,40
OG_618,40,40
OG_619,40,40
OG_620,40,40
OG_621,40,40
OG_622,38,38
OG_623,21,21
OG_624,39,39
OG_625,40,40
OG_626,21,21
OG_627,3,3
OG_628,40,40
OG_629,40,40
OG_630,25,25
OG_631,19,19
OG_632,3,3
OG_633,40,40
OG_634,40,40
OG_635,40,40
OG_636,40,40
OG_637,24,24
OG_638,3,3
OG_639,22,22
OG_640,40,40
OG_641,22,22
OG_642,24,24
OG_643,40,40
OG_644,40,40
OG_645,40,40
OG_646,40,40
OG_647,40,40
OG_648,40,40
OG_649,21,21
OG_650,40,40
OG_651,40,40
OG_652,40,40
OG_653,24,24
OG_654,38,38
OG_655,40,40
OG_656,40,40
OG_657,40,40
OG_658,39,39
OG_659,39,39
OG_660,25,25
OG_661,40,40
OG_662,40,40
OG_663,40,40
OG_664,40,40
OG_665,40,40
OG_666,40,40
OG_667,23,23
OG_668,25,25
OG_669,21,21
OG_670,17,17
OG_671,23,23
OG_672,3,3
OG_673,20,20
OG_674,17,17
OG_675,20,20
OG_676,22,22
OG_677,23,23
OG_678,40,40
OG_679,23,23
OG_680,21,21
OG_681,23,23
OG_682,20,20
OG_683,40,40
OG_684,21,21
OG_685,24,24
OG_686,23,23
OG_687,23,23
OG_688,22,23
OG_689,23,23
OG_690,25,25
OG_691,21,21
OG_692,40,40
OG_693,25,25
OG_694,40,40
OG_695,23,23
OG_696,25,25
OG_697,23,23
OG_698,35,35
OG_699,38,38
OG_700,40,40
OG_701,25,25
OG_702,40,40
OG_703,36,36
OG_704,40,40
OG_705,25,25
OG_706,40,40
OG_707,21,21
OG_708,5,5
OG_709,21,21
OG_710,40,40
OG_711,20,20
OG_712,23,23
OG_713,25,25
OG_714,40,40
OG_715,23,23
OG_716,25,25
OG_717,40,40
OG_718,40,40
OG_719,35,35
OG_720,25,25
OG_721,24,24
OG_722,24,24
OG_723,25,25
OG_724,40,40
OG_725,20,20
OG_726,24,24
OG_727,40,40
OG_728,40,40
OG_729,40,40
OG_730,39,39
OG_731,24,24
OG_732,39,39
OG_733,40,40
OG_734,40,40
OG_735,40,40
OG_736,40,40
OG_737,22,22
OG_738,40,40
OG_739,40,40
OG_740,40,40
OG_741,25,25
OG_742,40,40
OG_743,40,40
OG_744,40,40
OG_745,40,40
OG_746,25,25
OG_747,40,40
OG_748,3,3
OG_749,19,19
OG_750,3,3
OG_751,40,40
OG_752,40,40
OG_753,40,40
OG_754,40,40
OG_755,40,40
OG_756,39,39
OG_757,24,24
OG_758,40,40
OG_759,40,40
OG_760,40,40
OG_761,40,40
OG_762,40,40
OG_763,39,39
OG_764,25,25
OG_765,40,40
OG_766,40,40
OG_767,40,40
OG_768,24,24
OG_769,3,3
OG_770,15,15
OG_771,40,40
OG_772,3,3
OG_773,3,3
OG_774,12,12
OG_775,3,3
OG_776,3,3
OG_777,3,3
OG_778,3,3
OG_779,17,17
OG_780,14,14
OG_781,17,17
OG_782,23,23
OG_783,40,40
