OG_name,OG size (number of genomes),OG size (total number of genes)
OG_589,25,25
OG_590,25,25
OG_591,41,41
OG_592,41,41
OG_593,41,41
OG_594,41,41
OG_595,21,21
OG_596,19,20
OG_597,3,3
OG_598,19,19
OG_599,16,16
OG_600,3,3
OG_601,41,41
OG_602,41,41
OG_603,41,41
OG_604,41,41
OG_605,40,40
OG_606,23,23
OG_607,3,3
OG_608,3,3
OG_609,41,41
OG_610,40,40
OG_611,41,41
OG_612,41,41
OG_613,40,40
OG_614,41,41
OG_615,41,41
OG_616,40,40
OG_617,40,40
OG_618,40,40
OG_619,41,41
OG_620,41,41
OG_621,40,40
OG_622,41,41
OG_623,39,39
OG_624,40,40
OG_625,40,40
OG_626,41,41
OG_627,23,23
OG_628,3,3
OG_629,41,41
OG_630,40,40
OG_631,40,40
OG_632,19,19
OG_633,3,3
OG_634,40,40
OG_635,41,41
OG_636,41,41
OG_637,41,41
OG_638,40,40
OG_639,40,40
OG_640,23,23
OG_641,41,41
OG_642,37,37
OG_643,40,40
OG_644,41,41
OG_645,40,40
OG_646,41,41
OG_647,41,41
OG_648,41,41
OG_649,41,41
OG_650,23,23
OG_651,41,41
OG_652,40,40
OG_653,41,41
OG_654,40,40
OG_655,38,38
OG_656,41,41
OG_657,41,41
OG_658,41,41
OG_659,40,40
OG_660,39,39
OG_661,40,40
OG_662,41,41
OG_663,41,41
OG_664,41,41
OG_665,40,40
OG_666,41,41
OG_667,41,41
OG_668,40,40
OG_669,41,41
OG_670,38,38
OG_671,17,17
OG_672,40,40
OG_673,40,40
OG_674,20,20
OG_675,21,21
OG_676,22,22
OG_677,40,40
OG_678,40,40
OG_679,40,40
OG_680,40,40
OG_681,24,24
OG_682,24,24
OG_683,23,23
OG_684,40,40
OG_685,22,22
OG_686,24,24
OG_687,23,23
OG_688,23,23
OG_689,23,24
OG_690,23,23
OG_691,40,40
OG_692,25,25
OG_693,41,41
OG_694,40,40
OG_695,40,40
OG_696,39,39
OG_697,40,40
OG_698,40,40
OG_699,35,35
OG_700,40,40
OG_701,40,40
OG_702,25,25
OG_703,41,41
OG_704,37,37
OG_705,41,41
OG_706,40,40
OG_707,41,41
OG_708,25,25
OG_709,5,5
OG_710,40,40
OG_711,40,40
OG_712,24,24
OG_713,40,40
OG_714,25,25
OG_715,40,40
OG_716,40,40
OG_717,40,40
OG_718,41,41
OG_719,41,41
OG_720,36,36
OG_721,40,40
OG_722,24,24
OG_723,40,40
OG_724,40,40
OG_725,41,41
OG_726,22,22
OG_727,40,40
OG_728,41,41
OG_729,40,40
OG_730,40,40
OG_731,39,39
OG_732,40,40
OG_733,41,41
OG_734,41,41
OG_735,41,41
OG_736,41,41
OG_737,41,41
OG_738,39,39
OG_739,41,41
OG_740,40,40
